cal_per_gesture,cal_total_ms,participant,session,arm,n_cal,n_test,acc,f1_macro,f1_rest,f1_close,f1_open
12,7200,patient10,impaired_07,impaired,144,117,0.7008547008547008,0.6254373327845235,1.0,0.6902654867256637,0.18604651162790695
12,7200,patient10,impaired_08,impaired,144,117,0.8461538461538461,0.8410326086956522,1.0,0.8043478260869565,0.71875
12,7200,patient11,healthy_01,healthy,144,117,1.0,1.0,1.0,1.0,1.0
12,7200,patient11,healthy_02,healthy,144,117,0.8974358974358975,0.8963455149501659,1.0,0.8604651162790696,0.8285714285714285
12,7200,patient11,impaired_01,impaired,144,117,0.8461538461538461,0.831350517735184,0.8764044943820225,0.9176470588235294,0.7000000000000001
12,7200,patient11,impaired_02,impaired,144,117,0.8376068376068376,0.8303788994510644,0.9870129870129869,0.8041237113402061,0.7000000000000001
12,7200,patient11,impaired_03,impaired,144,117,0.6581196581196581,0.5404609815820292,0.8387096774193548,0.7326732673267325,0.05
12,7200,patient11,impaired_04,impaired,144,117,0.8205128205128205,0.80938770240369,0.962962962962963,0.7872340425531915,0.6779661016949152
12,7200,patient12,healthy_01,healthy,144,117,0.8034188034188035,0.7880559985823142,1.0,0.7676767676767675,0.5964912280701755
12,7200,patient12,healthy_02,healthy,144,117,0.7350427350427351,0.6925364390960721,0.9870129870129869,0.7155963302752294,0.375
12,7200,patient12,impaired_01,impaired,144,117,0.9829059829059829,0.9829045778412867,0.9873417721518987,0.9870129870129869,0.9743589743589743
12,7200,patient12,impaired_02,impaired,144,117,0.8290598290598291,0.8215511324639669,1.0,0.7872340425531915,0.6774193548387096
12,7200,patient12,impaired_03,impaired,144,117,0.8376068376068376,0.8332137093441561,0.951219512195122,0.7865168539325842,0.761904761904762
12,7200,patient12,impaired_04,impaired,144,117,0.905982905982906,0.9047143095119106,1.0,0.8735632183908045,0.8405797101449275
12,7200,patient12,impaired_05,impaired,144,117,0.8803418803418803,0.8823836075978059,0.8888888888888888,0.8372093023255814,0.9210526315789475
12,7200,patient12,impaired_06,impaired,144,117,0.6581196581196581,0.6541772403841369,0.5454545454545454,0.6551724137931034,0.761904761904762
12,7200,patient12,impaired_07,impaired,144,117,0.9487179487179487,0.9489255266680758,0.9397590361445783,0.9736842105263158,0.9333333333333333
12,7200,patient12,impaired_08,impaired,144,117,0.717948717948718,0.6634782608695652,0.8478260869565216,0.7826086956521738,0.36000000000000004
12,7200,patient12,impaired_09,impaired,144,117,0.6923076923076923,0.6047619047619047,0.975,0.6964285714285715,0.14285714285714288
24,14400,patient1,healthy_01,healthy,288,117,0.9487179487179487,0.9489255266680758,0.9397590361445783,0.9736842105263158,0.9333333333333333
24,14400,patient1,healthy_02,healthy,288,117,0.9145299145299145,0.9131016042780749,1.0,0.8863636363636364,0.8529411764705882
24,14400,patient1,impaired_01,impaired,288,117,0.7948717948717948,0.7734204793028322,1.0,0.7647058823529412,0.5555555555555556
24,14400,patient1,impaired_02,impaired,288,117,0.8717948717948718,0.8668714797747056,1.0,0.8387096774193548,0.761904761904762
24,14400,patient1,impaired_03,impaired,288,117,0.8803418803418803,0.8774410774410774,1.0,0.8444444444444443,0.7878787878787878
24,14400,patient1,impaired_04,impaired,288,117,1.0,1.0,1.0,1.0,1.0
24,14400,patient1,impaired_05,impaired,288,117,0.8290598290598291,0.817030260380014,1.0,0.7959183673469388,0.6551724137931034
24,14400,patient1,impaired_06,impaired,288,117,0.7948717948717948,0.7734204793028322,1.0,0.7647058823529412,0.5555555555555556
24,14400,patient2,healthy_01,healthy,288,117,0.8376068376068376,0.827363271011707,1.0,0.8041237113402061,0.6779661016949152
24,14400,patient2,healthy_02,healthy,288,117,0.717948717948718,0.6524209989806321,0.975,0.7155963302752294,0.2666666666666667
24,14400,patient2,impaired_01,impaired,288,117,0.7435897435897436,0.7056603773584905,1.0,0.7169811320754718,0.3999999999999999
24,14400,patient2,impaired_02,impaired,288,117,0.7008547008547008,0.6580028129395218,0.9873417721518987,0.6666666666666667,0.32
24,14400,patient2,impaired_03,impaired,288,117,0.9401709401709402,0.940082304526749,1.0,0.9135802469135802,0.9066666666666667
24,14400,patient2,impaired_04,impaired,288,117,0.9145299145299145,0.9140211640211641,1.0,0.8809523809523809,0.8611111111111112
24,14400,patient2,impaired_05,impaired,288,117,0.9230769230769231,0.9223912349750026,0.9873417721518987,0.8941176470588235,0.8857142857142858
24,14400,patient2,impaired_06,impaired,288,117,0.6666666666666666,0.5555555555555555,1.0,0.6666666666666666,0.0
24,14400,patient3,healthy_01,healthy,288,117,0.8205128205128205,0.8115616911130283,1.0,0.7789473684210526,0.6557377049180326
24,14400,patient3,healthy_02,healthy,288,117,0.6752136752136753,0.5741379310344827,1.0,0.6724137931034482,0.05
24,14400,patient3,impaired_01,impaired,288,117,0.6666666666666666,0.5660704457897633,0.9873417721518987,0.6608695652173913,0.05
24,14400,patient3,impaired_02,impaired,288,117,0.7948717948717948,0.7928224472003275,0.945945945945946,0.7551020408163266,0.6774193548387096
24,14400,patient3,impaired_03,impaired,288,117,0.6923076923076923,0.5914098972922502,0.8666666666666666,0.7647058823529412,0.14285714285714288
24,14400,patient3,impaired_04,impaired,288,117,0.811965811965812,0.7957142857142857,1.0,0.78,0.6071428571428571
24,14400,patient3,impaired_05,impaired,288,117,0.8717948717948718,0.8678304768369252,0.9397590361445783,0.875,0.7887323943661971
24,14400,patient3,impaired_06,impaired,288,117,0.8717948717948718,0.8668714797747056,1.0,0.8387096774193548,0.761904761904762
24,14400,patient4,healthy_01,healthy,288,117,0.9743589743589743,0.974320987654321,1.0,0.9600000000000001,0.962962962962963
24,14400,patient4,healthy_02,healthy,288,117,0.7948717948717948,0.7836909256840183,0.951219512195122,0.7446808510638298,0.6551724137931034
24,14400,patient4,impaired_01,impaired,288,117,0.8803418803418803,0.8774410774410774,1.0,0.8444444444444443,0.7878787878787878
24,14400,patient4,impaired_02,impaired,288,117,0.9914529914529915,0.9914515863882952,0.9873417721518987,1.0,0.9870129870129869
24,14400,patient4,impaired_03,impaired,288,117,0.9829059829059829,0.9828947368421054,1.0,0.975,0.9736842105263158
24,14400,patient4,impaired_04,impaired,288,117,0.9743589743589743,0.9743209876543211,1.0,0.962962962962963,0.9600000000000001
24,14400,patient4,impaired_05,impaired,288,117,0.7692307692307693,0.7515623928497955,0.951219512195122,0.7216494845360825,0.5818181818181819
24,14400,patient4,impaired_06,impaired,288,117,0.8205128205128205,0.8064859117490698,1.0,0.787878787878788,0.631578947368421
24,14400,patient4,impaired_07,impaired,288,117,0.8461538461538461,0.8375,1.0,0.8125000000000001,0.7000000000000001
24,14400,patient5,healthy_01,healthy,288,117,0.7948717948717948,0.7734204793028322,1.0,0.7647058823529412,0.5555555555555556
24,14400,patient5,healthy_02,healthy,288,117,0.7692307692307693,0.7378151260504202,1.0,0.7428571428571429,0.47058823529411764
24,14400,patient5,impaired_01,impaired,288,117,0.8290598290598291,0.8194444444444443,1.0,0.7916666666666666,0.6666666666666666
24,14400,patient5,impaired_02,impaired,288,117,0.6410256410256411,0.5396402398401066,0.9873417721518987,0.631578947368421,0.0
24,14400,patient5,impaired_03,impaired,288,117,0.9145299145299145,0.9131016042780749,1.0,0.8863636363636364,0.8529411764705882
24,14400,patient6,healthy_01,healthy,288,117,0.905982905982906,0.9054971356545507,0.8974358974358975,0.9176470588235294,0.9014084507042254
24,14400,patient6,impaired_01,impaired,288,117,0.7777777777777778,0.75,1.0,0.7499999999999999,0.5
24,14400,patient6,impaired_02,impaired,288,117,0.7521367521367521,0.7123784093076483,1.0,0.7289719626168224,0.4081632653061224
24,14400,patient6,impaired_03,impaired,288,117,0.6581196581196581,0.5580409356725146,0.975,0.6491228070175438,0.05
24,14400,patient6,impaired_04,impaired,288,117,0.811965811965812,0.7957142857142857,1.0,0.78,0.6071428571428571
24,14400,patient7,healthy_01,healthy,288,117,1.0,1.0,1.0,1.0,1.0
24,14400,patient7,healthy_02,healthy,288,117,0.9145299145299145,0.9131016042780749,1.0,0.8863636363636364,0.8529411764705882
24,14400,patient7,impaired_01,impaired,288,117,0.9316239316239316,0.9323676396847129,0.9487179487179487,0.9024390243902439,0.945945945945946
24,14400,patient7,impaired_02,impaired,288,117,0.8205128205128205,0.8125727128503436,0.975,0.7741935483870968,0.6885245901639344
24,14400,patient7,impaired_03,impaired,288,117,0.8547008547008547,0.8569137663586114,0.9315068493150686,0.8210526315789474,0.8181818181818181
24,14400,patient7,impaired_04,impaired,288,117,0.8974358974358975,0.8949494949494948,1.0,0.8666666666666666,0.8181818181818181
24,14400,patient7,impaired_05,impaired,288,117,0.9743589743589743,0.9743504330446369,0.9873417721518987,0.9620253164556962,0.9736842105263158
24,14400,patient7,impaired_06,impaired,288,117,0.9829059829059829,0.9829045778412867,0.9873417721518987,0.9743589743589743,0.9870129870129869
24,14400,patient7,impaired_07,impaired,288,117,0.8376068376068376,0.8291139240506329,0.9873417721518987,0.8,0.7000000000000001
